MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:88064	Ar	androgen receptor	X		activation of prostate induction by androgen receptor signaling pathway	happens in prostate gland		IMP	MGI:3716756 	J:122327 	
MGI:88064	Ar	androgen receptor	X		androgen receptor signaling pathway			IDA		J:91599 J:96238 J:240274 	
MGI:88064	Ar	androgen receptor	X		androgen receptor signaling pathway			ISO	RGD:2147 	J:155856 	
MGI:88064	Ar	androgen receptor	X		androgen receptor signaling pathway			ISO	P10275 	J:164563 	
MGI:1935147	Arid1a	AT rich interactive domain 1A (SWI-like)	4		androgen receptor signaling pathway			ISO	O14497 	J:164563 	
MGI:99474	Arrb2	arrestin, beta 2	11		regulation of androgen receptor signaling pathway			ISO	P32121 	J:164563 	
MGI:109175	Dab2	disabled 2, mitogen-responsive phosphoprotein	15		negative regulation of androgen receptor signaling pathway			ISO	P98082 	J:164563 	
MGI:1197015	Daxx	Fas death domain-associated protein	17		androgen receptor signaling pathway			ISO	Q9UER7 	J:164563 	
MGI:105037	Ddx5	DEAD (Asp-Glu-Ala-Asp) box polypeptide 5	11		androgen receptor signaling pathway			ISO	P17844 	J:164563 	
MGI:105037	Ddx5	DEAD (Asp-Glu-Ala-Asp) box polypeptide 5	11		regulation of androgen receptor signaling pathway			ISO	P17844 	J:164563 	
MGI:1914290	Ddx17	DEAD (Asp-Glu-Ala-Asp) box polypeptide 17	15		androgen receptor signaling pathway			ISO	Q92841 	J:164563 	
MGI:1270129	Dnaja1	DnaJ heat shock protein family (Hsp40) member A1	4		androgen receptor signaling pathway			IMP	MGI:3573790 	J:96238 	
MGI:1276116	Ep300	E1A binding protein p300	15		regulation of androgen receptor signaling pathway			ISO	Q09472 	J:164563 	
