gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
ACVR2A	90992	951	-2	3678913	938945	0	11	0	0	50	28	56005880	0	0
APBB2	227095	394	39	5364149	1466311	0	7	0	0	50	28	54406268	0	0
APC	247811	399	28	19618599	5461449	0	44	3	0	40	32	54186370	0	0
AR	106188	NaN	-7	6336176	1874971	0	42	2	0	50	40	56009772	0	0
ARNT	1787393	188	33	5613237	1549989	0	7	1	0	50	42	56199507	0	0
ATM	415837	582	16	21986881	5507180	0	42	3	0	45	27	50905414	0	0
ATXN2	523776	302	42	9090739	2696183	0	9	3	0	50	27	49031416	0	0
BIN1	324544	324	17	4352229	1202628	0	8	0	0	50	36	71878429	0	0
CDKN1B	791330	136	44	1385552	380443	0	17	1	0	11	2	9796164	0	0
CPLX4	293564	549	20	1179276	253953	0	3	0	0	42	20	51495052	0	0
CPNE3	192772	1166	22	3898811	987595	0	3	1	0	50	20	59114615	0	0
DEPDC1B	166902	679	13	3790808	973000	0	3	0	0	50	34	49665812	0	0
ETV3	895723	423	31	3569937	1056678	0	13	1	0	50	36	52012688	0	0
FOXA1	67481	487	-58	3168088	985649	0	87	2	0	50	41	47666297	0	0
IL6ST	317374	438	51	6542452	1680371	0	12	0	0	50	25	64042860	0	0
KDM6A	59340	NaN	36	9931411	2672831	0	25	1	0	46	32	54427674	0	0
KRT85	936407	213	42	3516422	1025542	0	7	1	0	50	25	64783313	0	0
LCE2D	169158	818	24	767697	216006	0	7	0	0	50	26	55166181	0	0
LCE4A	169158	818	24	699587	187789	0	4	0	0	50	26	55166181	0	0
NUDT22	1602391	278	57	2036489	689857	0	3	1	0	14	15	20423270	0	0
PGLS	961640	206	42	1727075	593530	0	3	0	0	50	22	65789395	0	0
PIK3R1	48999	619	32	5522748	1369011	0	10	0	0	35	8	42221389	0	0
PRPF19	794900	522	47	3585505	1011920	0	5	1	0	50	32	59893015	0	0
PTEN	259678	300	34	2946244	684992	0	45	1	0	50	22	49846790	0	0
RB1	349930	450	41	6721484	1717345	0	28	1	0	50	29	61513060	0	0
RNF43	782135	399	22	5287282	1671614	0	12	2	0	50	35	79870651	0	0
RTKN	1069803	343	45	4049626	1233764	0	6	0	0	50	29	54249615	0	0
SKA3	447305	240	43	3051328	795914	0	4	0	0	50	34	51774303	0	0
SPOP	943930	348	28	2700075	688884	0	87	0	0	50	37	51497971	0	0
SYPL1	327117	336	29	1825348	521528	0	3	0	0	50	24	60651955	0	0
TMPRSS2	266466	454	61	3792754	1017758	0	12	3	0	35	25	39012435	0	0
TP53	2069567	213	34	3005597	829969	0	197	2	0	29	16	28000994	0	0
USP28	169458	534	10	7708106	2018002	0	17	2	0	50	48	69872103	0	0
