purity	ploidy	sample
0.59	1.9	00-000450-SRR474658
0.55	1.9	00-1165-SRR461844
0.75	1.9	00-160-SRR471373
0.72	2	00-1823-SRR471613
0.73	2	01-1934-SRR471793
0.4	1.9	01-2382-SRR471433
0.45	4.1	01-2492-SRR471733
0.73	2	01-2554-SRR471673
0.22	3.4	01-28-SRR471073
0.35	2	02-1082-SRR472616
0.29	5.8	02-1562-SRR472853
0.25	2	02-169-SRR471289
0.28	2	02-1736-SRR472556
0.59	2	02-1899-SRR462188
0.1	1.7	02-2035-SRR471241
0.41	2	02-2072-SRR462267
0.17	1.9	02-2480-SRR462128
0.19	4.8	02-254-SRR474116
0.24	2	03-1026-SRR468565
0.38	5.9	03-1334-SRR474068
0.75	2	03-1426-SRR465855
0.36	1.9	03-1906-SRR465813
0.64	1.9	03-22-SRR471013
0.49	1.9	03-2345-SRR465789
0.34	2	03-2620-SRR463012
0.36	2	03-3391-SRR462988
0.3	1.9	03-595-SRR473840
0.11	2.1	03-870-SRR473924
0.5	2	03-871-SRR473816
0.72	2	04-1084-SRR470000
0.61	3.5	04-1243-SRR469952
0.59	1.9	04-1367-SRR468685
0.1	1.8	04-1421-SRR468337
0.4	1.9	04-1790-SRR468313
0.34	1.9	04-194-SRR468361
0.49	4	04-2599-SRR458567
0.31	1.9	04-2641-SRR458543
0.37	2	04-2666-SRR458519
0.49	1.9	04-2740-SRR464997
0.31	2	04-3113-SRR468985
0.64	2	04-3222-SRR468925
0.28	5.6	04-3347-SRR472945
0.99	2	04-47-SRR460038
0.4	1.9	04-594-SRR459996
0.11	5.2	04-639-SRR464829
0.71	1.9	04-903-SRR472177
0.55	2	05-2212-SRR472129
0.25	1.9	05-2594-SRR472153
0.34	5.8	05-3436-SRR472063
0.45	2	05-3440-SRR461561
0.59	2	05-3595-SRR472882
0.35	2	05-3829-SRR472015
0.69	1.9	05-3852-SRR472039
0.3	2	05-3859-SRR465129
0.79	2.2	05-620-SRR459972
0.12	1.9	05-839-SRR465021
0.33	1.9	06-1125-SRR458633
0.63	2	06-1651-SRR472417
0.34	2	06-1696-SRR458657
0.7	1.9	06-1749-SRR472297
0.1	1.9	06-1999-SRR472357
0.31	1.9	06-2325-SRR473245
0.1	1.9	06-3676-SRR458681
0.17	2.1	06-3939-SRR461465
0.56	1.9	06-4428-SRR461441
0.44	5.9	07-144-SRR466865
0.65	1.9	07-360-SRR461489
0.34	1.9	07-5036-SRR464787
0.58	1.9	07-684-SRR466841
0.4	2	07-718-SRR466557
0.52	2.4	07-837-SRR466629
0.37	2	08-2516-SRR464805
0.34	2	08-590-SRR460086
0.37	2	09-120-SRR460104
0.3	2	09-1372-SRR474935
0.15	5.7	09-1580-SRR474953
0.1	1.8	09-2497-SRR474977
0.48	1.9	09-2517-SRR474359
0.56	2	09-2744-SRR474438
0.64	3.8	09-2767-SRR465371
0.62	2	09-3421-SRR465213
0.41	2	09-3566-SRR465510
0.86	5.8	09-3687-SRR467858
0.67	1.9	09-5094-SRR473166
0.27	1.8	09-5245-SRR468174
0.62	1.9	09-5446-SRR473087
0.59	1.9	09-5630-SRR485163
0.39	5.9	09-5700-SRR485381
0.68	2	09-5702-SRR485302
0.1	2	09-649-SRR460152
0.89	2	1-SRR5876699
0.35	1.9	10-SRR4043970
0.73	1.9	10-SRR5876700
0.32	3.6	11-SRR4044013
0.49	4.1	11-SRR5876711
0.16	2.9	1115081-SRR8304753
0.35	5.7	1115082-SRR8304741
0.1	1.6	1115085-SRR8304748
0.17	5.2	1115086-SRR8304740
0.13	3.8	1115088-SRR8304754
0.38	4.3	1115089-SRR8304758
0.23	3.9	1115090-SRR8307132
0.18	5.5	1115091-SRR8304759
0.14	1.7	1115092-SRR8304757
0.84	2	1115126-SRR8304763
0.9	2	1115150-SRR8304824
0.94	2	1115153-SRR2404067
0.78	4	1115154-SRR2404230
0.61	3.5	1115156-SRR2404024
0.46	5.7	1115157-SRR2404185
0.87	2.4	1115161-SRR2404095
0.47	4.5	1115183-SRR2407078
0.85	4.6	1115200-SRR8304826
0.81	4.2	1115202-SRR2404278
0.49	2.1	1115244-SRR2404302
0.28	1.8	1115245-SRR8304830
0.64	4.5	1115257-SRR8304832
0.56	4.6	1115264-SRR8304839
0.3	1.8	1115265-SRR8304838
0.42	1.9	1115284-SRR8304834
0.53	6.3	1115303-SRR8307441
0.89	2	1115305-SRR8324618
0.78	4	1115308-SRR8321662
0.63	1.9	1115311-SRR8307498
0.41	1.8	1115343-SRR8304837
0.3	2	1115349-SRR8304843
0.82	3.1	12-SRR5876722
0.78	1.9	12729-SRR3146834
0.73	1.8	12730-SRR3146839
0.37	1.9	13-SRR4043923
0.8	3.8	13-SRR5876724
0.68	3.6	14-SRR4043959
0.84	4.1	14-SRR5876725
0.22	3.9	15-SRR4043919
0.56	2.4	15-SRR5876726
0.36	2.1	16-SRR4043929
0.81	2.7	16-SRR5876727
0.28	6.7	17-SRR4043874
0.96	3.3	17-SRR5876728
0.34	3.8	18-SRR5876729
0.22	5.2	19-SRR4043878
0.75	2.1	19-SRR5876730
0.21	5.4	2-SRR4043877
0.66	2	2-SRR5876731
0.58	1.9	20-SRR4043814
0.79	2	20-SRR5876732
0.96	1.8	20630-SRR3146915
0.64	1.9	20990-SRR3146978
0.66	4.2	21-SRR4043856
0.6	1.7	21-SRR5876733
0.27	4.5	21011-SRR3146793
0.15	2.5	21020-SRR3146741
0.62	3.9	21181-SRR3146979
0.34	1.9	21510-SRR3146833
0.55	2.2	22-SRR4043904
0.81	2.1	22-SRR5876734
0.31	1.9	22171-SRR3146955
0.6	5.9	23-SRR4043895
0.48	2	23-SRR5876735
0.34	1.9	24-SRR4043997
0.58	1.9	24-SRR5876736
0.11	1.9	25-SRR4043920
0.88	3.4	25-SRR5876737
0.63	3.9	26-SRR4043811
0.79	2.1	26-SRR5876738
0.48	5.9	27-SRR4043858
0.97	4	27-SRR5876739
