C529.TCGA-2A-A8VL-01A-21D-A377-08.1 C529.TCGA-2A-A8VL-10A-01D-A37A-08.1
C529.TCGA-2A-A8VO-01A-11D-A377-08.1 C529.TCGA-2A-A8VO-10A-01D-A37A-08.1
C529.TCGA-2A-A8VT-01A-11D-A377-08.1 C529.TCGA-2A-A8VT-10A-01D-A37A-08.1
C529.TCGA-2A-A8VV-01A-11D-A377-08.1 C529.TCGA-2A-A8VV-10A-01D-A37A-08.1
C529.TCGA-2A-A8VX-01A-11D-A377-08.1 C529.TCGA-2A-A8VX-10A-01D-A37A-08.1
C529.TCGA-2A-A8W1-01A-11D-A377-08.1 C529.TCGA-2A-A8W1-10A-01D-A37A-08.1
C529.TCGA-2A-A8W3-01A-11D-A377-08.1 C529.TCGA-2A-A8W3-10A-01D-A37A-08.1
C529.TCGA-2A-AAYF-01A-11D-A41K-08.1 C529.TCGA-2A-AAYF-10A-01D-A41N-08.3
C529.TCGA-2A-AAYO-01A-11D-A41K-08.1 C529.TCGA-2A-AAYO-10A-01D-A41N-08.3
C529.TCGA-2A-AAYU-01A-11D-A41K-08.1 C529.TCGA-2A-AAYU-10A-01D-A41N-08.3
C529.TCGA-4L-AA1F-01A-11D-A41K-08.2 C529.TCGA-4L-AA1F-10A-01D-A41N-08.2
C529.TCGA-CH-5737-01A-11D-1576-08.4 C529.TCGA-CH-5737-10A-01D-1576-08.4
C529.TCGA-CH-5738-01A-11D-1576-08.4 C529.TCGA-CH-5738-10A-01D-1576-08.4
C529.TCGA-CH-5739-01A-11D-1576-08.4 C529.TCGA-CH-5739-10A-01D-1576-08.4
C529.TCGA-CH-5740-01A-11D-1576-08.4 C529.TCGA-CH-5740-10A-01D-1576-08.4
C529.TCGA-CH-5741-01A-11D-1576-08.4 C529.TCGA-CH-5741-10A-01D-1576-08.4
C529.TCGA-CH-5743-01A-21D-1576-08.4 C529.TCGA-CH-5743-10A-01D-1576-08.4
C529.TCGA-CH-5744-01A-11D-1576-08.12 C529.TCGA-CH-5744-10A-01D-1576-08.12
C529.TCGA-CH-5745-01A-11D-1576-08.4 C529.TCGA-CH-5745-10A-01D-1576-08.4
C529.TCGA-CH-5746-01A-11D-1576-08.7 C529.TCGA-CH-5746-10A-01D-1576-08.9
C529.TCGA-CH-5748-01A-11D-1576-08.4 C529.TCGA-CH-5748-10A-01D-1576-08.4
C529.TCGA-CH-5750-01A-11D-1576-08.4 C529.TCGA-CH-5750-10A-01D-1576-08.4
C529.TCGA-CH-5751-01A-11D-1576-08.4 C529.TCGA-CH-5751-10A-01D-1576-08.4
C529.TCGA-CH-5752-01A-11D-1576-08.4 C529.TCGA-CH-5752-10A-01D-1576-08.4
C529.TCGA-CH-5753-01A-11D-1576-08.4 C529.TCGA-CH-5753-10A-01D-1576-08.4
C529.TCGA-CH-5754-01A-11D-1576-08.11 C529.TCGA-CH-5754-10A-01D-1576-08.12
C529.TCGA-CH-5761-01A-11D-1576-08.4 C529.TCGA-CH-5761-11A-01D-1576-08.4
C529.TCGA-CH-5762-01A-11D-1576-08.7 C529.TCGA-CH-5762-11A-01D-1576-08.9
C529.TCGA-CH-5763-01A-11D-1576-08.4 C529.TCGA-CH-5763-11A-01D-1576-08.4
C529.TCGA-CH-5764-01A-21D-1576-08.4 C529.TCGA-CH-5764-11A-01D-1576-08.4
C529.TCGA-CH-5765-01A-11D-1576-08.7 C529.TCGA-CH-5765-11A-01D-1576-08.9
C529.TCGA-CH-5766-01A-11D-1576-08.4 C529.TCGA-CH-5766-11A-01D-1576-08.4
C529.TCGA-CH-5767-01A-11D-1786-08.3 C529.TCGA-CH-5767-11B-01D-1786-08.3
C529.TCGA-CH-5768-01A-11D-1576-08.8 C529.TCGA-CH-5768-11A-01D-1576-08.8
C529.TCGA-CH-5769-01A-11D-1576-08.9 C529.TCGA-CH-5769-11A-01D-1576-08.9
C529.TCGA-CH-5771-01A-21D-1576-08.4 C529.TCGA-CH-5771-11A-01D-1576-08.4
C529.TCGA-CH-5772-01A-11D-1576-08.4 C529.TCGA-CH-5772-11A-01D-1576-08.4
C529.TCGA-CH-5788-01A-11D-1576-08.4 C529.TCGA-CH-5788-10A-01D-1576-08.4
