TCGA-2A-A8VL-01	TCGA-2A-A8VL-10
TCGA-2A-A8VO-01	TCGA-2A-A8VO-10
TCGA-2A-A8VT-01	TCGA-2A-A8VT-10
TCGA-2A-A8VV-01	TCGA-2A-A8VV-10
TCGA-2A-A8VX-01	TCGA-2A-A8VX-10
TCGA-2A-A8W1-01	TCGA-2A-A8W1-10
TCGA-2A-A8W3-01	TCGA-2A-A8W3-10
TCGA-2A-AAYF-01	TCGA-2A-AAYF-10
TCGA-2A-AAYO-01	TCGA-2A-AAYO-10
TCGA-2A-AAYU-01	TCGA-2A-AAYU-10
TCGA-4L-AA1F-01	TCGA-4L-AA1F-10
TCGA-CH-5737-01	TCGA-CH-5737-10
TCGA-CH-5738-01	TCGA-CH-5738-10
TCGA-CH-5739-01	TCGA-CH-5739-10
TCGA-CH-5740-01	TCGA-CH-5740-10
TCGA-CH-5741-01	TCGA-CH-5741-10
TCGA-CH-5743-01	TCGA-CH-5743-10
TCGA-CH-5744-01	TCGA-CH-5744-10
TCGA-CH-5745-01	TCGA-CH-5745-10
TCGA-CH-5746-01	TCGA-CH-5746-10
TCGA-CH-5748-01	TCGA-CH-5748-10
TCGA-CH-5750-01	TCGA-CH-5750-10
TCGA-CH-5751-01	TCGA-CH-5751-10
TCGA-CH-5752-01	TCGA-CH-5752-10
TCGA-CH-5753-01	TCGA-CH-5753-10
TCGA-CH-5754-01	TCGA-CH-5754-10
TCGA-CH-5761-01	TCGA-CH-5761-11
TCGA-CH-5762-01	TCGA-CH-5762-11
TCGA-CH-5763-01	TCGA-CH-5763-11
TCGA-CH-5764-01	TCGA-CH-5764-11
TCGA-CH-5765-01	TCGA-CH-5765-11
TCGA-CH-5766-01	TCGA-CH-5766-11
TCGA-CH-5767-01	TCGA-CH-5767-11
TCGA-CH-5768-01	TCGA-CH-5768-11
TCGA-CH-5769-01	TCGA-CH-5769-11
TCGA-CH-5771-01	TCGA-CH-5771-11
TCGA-CH-5772-01	TCGA-CH-5772-11
TCGA-CH-5788-01	TCGA-CH-5788-10
TCGA-CH-5789-01	TCGA-CH-5789-10
TCGA-CH-5790-01	TCGA-CH-5790-10
TCGA-CH-5791-01	TCGA-CH-5791-10
TCGA-CH-5792-01	TCGA-CH-5792-10
TCGA-CH-5794-01	TCGA-CH-5794-10
TCGA-EJ-5494-01	TCGA-EJ-5494-10
TCGA-EJ-5495-01	TCGA-EJ-5495-10
TCGA-EJ-5496-01	TCGA-EJ-5496-10
TCGA-EJ-5497-01	TCGA-EJ-5497-10
TCGA-EJ-5498-01	TCGA-EJ-5498-10
TCGA-EJ-5499-01	TCGA-EJ-5499-10
TCGA-EJ-5501-01	TCGA-EJ-5501-10
TCGA-EJ-5502-01	TCGA-EJ-5502-10
TCGA-EJ-5503-01	TCGA-EJ-5503-10
TCGA-EJ-5504-01	TCGA-EJ-5504-10
TCGA-EJ-5505-01	TCGA-EJ-5505-10
TCGA-EJ-5506-01	TCGA-EJ-5506-10
TCGA-EJ-5507-01	TCGA-EJ-5507-10
TCGA-EJ-5508-01	TCGA-EJ-5508-10
TCGA-EJ-5509-01	TCGA-EJ-5509-10
TCGA-EJ-5510-01	TCGA-EJ-5510-10
TCGA-EJ-5511-01	TCGA-EJ-5511-10
TCGA-EJ-5512-01	TCGA-EJ-5512-10
TCGA-EJ-5514-01	TCGA-EJ-5514-10
TCGA-EJ-5515-01	TCGA-EJ-5515-10
TCGA-EJ-5516-01	TCGA-EJ-5516-10
TCGA-EJ-5517-01	TCGA-EJ-5517-10
TCGA-EJ-5518-01	TCGA-EJ-5518-10
TCGA-EJ-5519-01	TCGA-EJ-5519-10
TCGA-EJ-5521-01	TCGA-EJ-5521-10
TCGA-EJ-5522-01	TCGA-EJ-5522-10
TCGA-EJ-5524-01	TCGA-EJ-5524-10
TCGA-EJ-5525-01	TCGA-EJ-5525-10
TCGA-EJ-5526-01	TCGA-EJ-5526-10
TCGA-EJ-5527-01	TCGA-EJ-5527-10
TCGA-EJ-5530-01	TCGA-EJ-5530-10
TCGA-EJ-5531-01	TCGA-EJ-5531-10
TCGA-EJ-5532-01	TCGA-EJ-5532-10
TCGA-EJ-5542-01	TCGA-EJ-5542-10
TCGA-EJ-7115-01	TCGA-EJ-7115-10
TCGA-EJ-7123-01	TCGA-EJ-7123-10
TCGA-EJ-7125-01	TCGA-EJ-7125-10
TCGA-EJ-7218-01	TCGA-EJ-7218-10
TCGA-EJ-7312-01	TCGA-EJ-7312-10
TCGA-EJ-7314-01	TCGA-EJ-7314-10
TCGA-EJ-7315-01	TCGA-EJ-7315-10
TCGA-EJ-7317-01	TCGA-EJ-7317-10
TCGA-EJ-7318-01	TCGA-EJ-7318-10
TCGA-EJ-7321-01	TCGA-EJ-7321-10
TCGA-EJ-7325-01	TCGA-EJ-7325-10
TCGA-EJ-7327-01	TCGA-EJ-7327-10
TCGA-EJ-7328-01	TCGA-EJ-7328-10
TCGA-EJ-7330-01	TCGA-EJ-7330-10
TCGA-EJ-7331-01	TCGA-EJ-7331-10
TCGA-EJ-7781-01	TCGA-EJ-7781-10
TCGA-EJ-7782-01	TCGA-EJ-7782-10
TCGA-EJ-7783-01	TCGA-EJ-7783-10
TCGA-EJ-7784-01	TCGA-EJ-7784-10
TCGA-EJ-7785-01	TCGA-EJ-7785-10
TCGA-EJ-7786-01	TCGA-EJ-7786-10
TCGA-EJ-7788-01	TCGA-EJ-7788-10
TCGA-EJ-7789-01	TCGA-EJ-7789-10
TCGA-EJ-7791-01	TCGA-EJ-7791-10
TCGA-EJ-7792-01	TCGA-EJ-7792-10
TCGA-EJ-7793-01	TCGA-EJ-7793-10
TCGA-EJ-7794-01	TCGA-EJ-7794-10
TCGA-EJ-7797-01	TCGA-EJ-7797-10
TCGA-EJ-8468-01	TCGA-EJ-8468-10
TCGA-EJ-8469-01	TCGA-EJ-8469-10
TCGA-EJ-8470-01	TCGA-EJ-8470-10
TCGA-EJ-8472-01	TCGA-EJ-8472-10
TCGA-EJ-8474-01	TCGA-EJ-8474-10
TCGA-EJ-A46B-01	TCGA-EJ-A46B-10
TCGA-EJ-A46D-01	TCGA-EJ-A46D-10
TCGA-EJ-A46E-01	TCGA-EJ-A46E-10
TCGA-EJ-A46F-01	TCGA-EJ-A46F-10
TCGA-EJ-A46G-01	TCGA-EJ-A46G-10
TCGA-EJ-A46H-01	TCGA-EJ-A46H-10
TCGA-EJ-A46I-01	TCGA-EJ-A46I-10
TCGA-EJ-A65B-01	TCGA-EJ-A65B-10
TCGA-EJ-A65D-01	TCGA-EJ-A65D-10
TCGA-EJ-A65E-01	TCGA-EJ-A65E-10
TCGA-EJ-A65F-01	TCGA-EJ-A65F-10
TCGA-EJ-A65G-01	TCGA-EJ-A65G-10
TCGA-EJ-A65J-01	TCGA-EJ-A65J-10
TCGA-EJ-A65M-01	TCGA-EJ-A65M-10
TCGA-EJ-A6RA-01	TCGA-EJ-A6RA-10
TCGA-EJ-A6RC-01	TCGA-EJ-A6RC-10
TCGA-EJ-A7NF-01	TCGA-EJ-A7NF-10
TCGA-EJ-A7NG-01	TCGA-EJ-A7NG-10
TCGA-EJ-A7NH-01	TCGA-EJ-A7NH-10
TCGA-EJ-A7NJ-01	TCGA-EJ-A7NJ-10
TCGA-EJ-A7NK-01	TCGA-EJ-A7NK-10
TCGA-EJ-A7NM-01	TCGA-EJ-A7NM-10
TCGA-EJ-A7NN-01	TCGA-EJ-A7NN-10
TCGA-EJ-A8FN-01	TCGA-EJ-A8FN-10
TCGA-EJ-A8FO-01	TCGA-EJ-A8FO-10
TCGA-EJ-A8FP-01	TCGA-EJ-A8FP-10
TCGA-EJ-A8FS-01	TCGA-EJ-A8FS-10
TCGA-EJ-A8FU-01	TCGA-EJ-A8FU-10
TCGA-EJ-AB20-01	TCGA-EJ-AB20-10
TCGA-EJ-AB27-01	TCGA-EJ-AB27-10
TCGA-FC-7708-01	TCGA-FC-7708-10
TCGA-FC-7961-01	TCGA-FC-7961-10
TCGA-FC-A4JI-01	TCGA-FC-A4JI-10
TCGA-FC-A5OB-01	TCGA-FC-A5OB-10
TCGA-FC-A66V-01	TCGA-FC-A66V-10
TCGA-FC-A6HD-01	TCGA-FC-A6HD-10
TCGA-FC-A8O0-01	TCGA-FC-A8O0-10
TCGA-G9-6329-01	TCGA-G9-6329-10
TCGA-G9-6332-01	TCGA-G9-6332-10
TCGA-G9-6333-01	TCGA-G9-6333-10
TCGA-G9-6336-01	TCGA-G9-6336-10
TCGA-G9-6338-01	TCGA-G9-6338-10
TCGA-G9-6339-01	TCGA-G9-6339-10
TCGA-G9-6342-01	TCGA-G9-6342-10
TCGA-G9-6343-01	TCGA-G9-6343-10
TCGA-G9-6347-01	TCGA-G9-6347-10
TCGA-G9-6348-01	TCGA-G9-6348-10
TCGA-G9-6351-01	TCGA-G9-6351-10
TCGA-G9-6353-01	TCGA-G9-6353-10
TCGA-G9-6354-01	TCGA-G9-6354-10
TCGA-G9-6356-01	TCGA-G9-6356-10
TCGA-G9-6361-01	TCGA-G9-6361-10
TCGA-G9-6362-01	TCGA-G9-6362-10
TCGA-G9-6363-01	TCGA-G9-6363-10
TCGA-G9-6364-01	TCGA-G9-6364-10
TCGA-G9-6365-01	TCGA-G9-6365-10
TCGA-G9-6366-01	TCGA-G9-6366-10
TCGA-G9-6367-01	TCGA-G9-6367-10
TCGA-G9-6369-01	TCGA-G9-6369-10
TCGA-G9-6370-01	TCGA-G9-6370-10
TCGA-G9-6371-01	TCGA-G9-6371-10
TCGA-G9-6373-01	TCGA-G9-6373-10
TCGA-G9-6377-01	TCGA-G9-6377-10
TCGA-G9-6378-01	TCGA-G9-6378-10
TCGA-G9-6379-01	TCGA-G9-6379-10
TCGA-G9-6384-01	TCGA-G9-6384-10
TCGA-G9-6385-01	TCGA-G9-6385-10
TCGA-G9-6494-01	TCGA-G9-6494-10
TCGA-G9-6496-01	TCGA-G9-6496-10
TCGA-G9-6498-01	TCGA-G9-6498-10
TCGA-G9-6499-01	TCGA-G9-6499-10
TCGA-G9-7509-01	TCGA-G9-7509-10
TCGA-G9-7510-01	TCGA-G9-7510-10
TCGA-G9-7519-01	TCGA-G9-7519-10
TCGA-G9-7521-01	TCGA-G9-7521-10
TCGA-G9-7522-01	TCGA-G9-7522-10
TCGA-G9-7523-01	TCGA-G9-7523-10
TCGA-G9-7525-01	TCGA-G9-7525-10
TCGA-G9-A9S0-01	TCGA-G9-A9S0-10
TCGA-G9-A9S4-01	TCGA-G9-A9S4-10
TCGA-G9-A9S7-01	TCGA-G9-A9S7-10
TCGA-H9-7775-01	TCGA-H9-7775-10
TCGA-H9-A6BX-01	TCGA-H9-A6BX-10
TCGA-H9-A6BY-01	TCGA-H9-A6BY-10
TCGA-HC-7075-01	TCGA-HC-7075-10
TCGA-HC-7077-01	TCGA-HC-7077-10
TCGA-HC-7078-01	TCGA-HC-7078-10
TCGA-HC-7079-01	TCGA-HC-7079-10
TCGA-HC-7080-01	TCGA-HC-7080-10
TCGA-HC-7081-01	TCGA-HC-7081-10
TCGA-HC-7209-01	TCGA-HC-7209-10
TCGA-HC-7210-01	TCGA-HC-7210-10
TCGA-HC-7211-01	TCGA-HC-7211-11
TCGA-HC-7212-01	TCGA-HC-7212-10
TCGA-HC-7213-01	TCGA-HC-7213-10
TCGA-HC-7230-01	TCGA-HC-7230-10
TCGA-HC-7231-01	TCGA-HC-7231-10
TCGA-HC-7232-01	TCGA-HC-7232-10
TCGA-HC-7233-01	TCGA-HC-7233-10
TCGA-HC-7736-01	TCGA-HC-7736-10
TCGA-HC-7737-01	TCGA-HC-7737-11
TCGA-HC-7738-01	TCGA-HC-7738-10
TCGA-HC-7740-01	TCGA-HC-7740-10
TCGA-HC-7742-01	TCGA-HC-7742-10
TCGA-HC-7744-01	TCGA-HC-7744-10
TCGA-HC-7745-01	TCGA-HC-7745-10
TCGA-HC-7747-01	TCGA-HC-7747-10
TCGA-HC-7748-01	TCGA-HC-7748-10
TCGA-HC-7749-01	TCGA-HC-7749-10
TCGA-HC-7750-01	TCGA-HC-7750-10
TCGA-HC-7752-01	TCGA-HC-7752-10
TCGA-HC-7817-01	TCGA-HC-7817-10
TCGA-HC-7818-01	TCGA-HC-7818-10
TCGA-HC-7819-01	TCGA-HC-7819-10
TCGA-HC-7820-01	TCGA-HC-7820-10
TCGA-HC-7821-01	TCGA-HC-7821-10
TCGA-HC-8213-01	TCGA-HC-8213-10
TCGA-HC-8216-01	TCGA-HC-8216-10
TCGA-HC-8256-01	TCGA-HC-8256-10
TCGA-HC-8257-01	TCGA-HC-8257-10
TCGA-HC-8258-01	TCGA-HC-8258-10
TCGA-HC-8259-01	TCGA-HC-8259-10
TCGA-HC-8260-01	TCGA-HC-8260-10
TCGA-HC-8261-01	TCGA-HC-8261-10
TCGA-HC-8262-01	TCGA-HC-8262-10
TCGA-HC-8264-01	TCGA-HC-8264-10
TCGA-HC-8265-01	TCGA-HC-8265-10
TCGA-HC-8266-01	TCGA-HC-8266-10
TCGA-HC-A48F-01	TCGA-HC-A48F-10
TCGA-HC-A4ZV-01	TCGA-HC-A4ZV-10
TCGA-HC-A631-01	TCGA-HC-A631-10
TCGA-HC-A632-01	TCGA-HC-A632-10
TCGA-HC-A6AL-01	TCGA-HC-A6AL-10
TCGA-HC-A6AN-01	TCGA-HC-A6AN-10
TCGA-HC-A6AO-01	TCGA-HC-A6AO-10
TCGA-HC-A6AP-01	TCGA-HC-A6AP-10
TCGA-HC-A6AQ-01	TCGA-HC-A6AQ-10
TCGA-HC-A6AS-01	TCGA-HC-A6AS-10
TCGA-HC-A6HX-01	TCGA-HC-A6HX-10
TCGA-HC-A6HY-01	TCGA-HC-A6HY-10
TCGA-HC-A76W-01	TCGA-HC-A76W-10
TCGA-HC-A76X-01	TCGA-HC-A76X-10
TCGA-HC-A8CY-01	TCGA-HC-A8CY-10
TCGA-HC-A8D0-01	TCGA-HC-A8D0-10
TCGA-HC-A8D1-01	TCGA-HC-A8D1-10
TCGA-HC-A9TE-01	TCGA-HC-A9TE-10
TCGA-HC-A9TH-01	TCGA-HC-A9TH-10
TCGA-HI-7168-01	TCGA-HI-7168-10
TCGA-HI-7169-01	TCGA-HI-7169-10
TCGA-HI-7170-01	TCGA-HI-7170-10
TCGA-HI-7171-01	TCGA-HI-7171-10
TCGA-J4-8198-01	TCGA-J4-8198-10
TCGA-J4-8200-01	TCGA-J4-8200-10
TCGA-J4-A67K-01	TCGA-J4-A67K-10
TCGA-J4-A67L-01	TCGA-J4-A67L-10
TCGA-J4-A67M-01	TCGA-J4-A67M-10
TCGA-J4-A67N-01	TCGA-J4-A67N-10
TCGA-J4-A67O-01	TCGA-J4-A67O-10
TCGA-J4-A67Q-01	TCGA-J4-A67Q-10
TCGA-J4-A67R-01	TCGA-J4-A67R-10
TCGA-J4-A67S-01	TCGA-J4-A67S-10
TCGA-J4-A67T-01	TCGA-J4-A67T-10
TCGA-J4-A6G1-01	TCGA-J4-A6G1-10
TCGA-J4-A6G3-01	TCGA-J4-A6G3-10
TCGA-J4-A6M7-01	TCGA-J4-A6M7-10
TCGA-J4-A83I-01	TCGA-J4-A83I-10
TCGA-J4-A83J-01	TCGA-J4-A83J-10
TCGA-J4-A83K-01	TCGA-J4-A83K-10
TCGA-J4-A83L-01	TCGA-J4-A83L-10
TCGA-J4-A83M-01	TCGA-J4-A83M-10
TCGA-J4-A83N-01	TCGA-J4-A83N-10
TCGA-J4-AATV-01	TCGA-J4-AATV-10
