SRR474658	SRR474682
SRR461844	SRR474706
SRR471373	SRR461904
SRR471613	SRR471553
SRR471793	SRR471913
SRR471433	SRR471493
SRR471733	SRR471853
SRR471673	SRR474766
SRR471073	SRR470989
SRR472616	SRR472695
SRR472853	SRR471265
SRR471289	SRR471181
SRR472556	SRR474598
SRR462188	SRR472774
SRR471241	SRR471349
SRR462267	SRR462068
SRR462128	SRR462327
SRR474116	SRR474008
SRR468565	SRR468445
SRR474068	SRR474176
SRR465855	SRR474092
SRR465813	SRR465837
SRR471013	SRR471097
SRR465789	SRR465873
SRR463012	SRR462964
SRR462988	SRR463030
SRR473840	SRR462940
SRR473924	SRR473864
SRR473816	SRR473984
SRR470000	SRR470024
SRR468685	SRR468625
SRR468337	SRR469976
SRR468313	SRR468421
SRR468361	SRR468253
SRR458567	SRR458615
SRR458543	SRR458591
SRR458519	SRR464889
SRR464997	SRR464973
SRR468985	SRR468505
SRR468925	SRR468805
SRR472945	SRR468865
SRR460038	SRR471157
SRR459996	SRR459948
SRR464829	SRR464913
SRR472177	SRR468745
SRR472129	SRR472081
SRR472153	SRR472105
SRR472063	SRR471997
SRR461561	SRR461645
SRR472882	SRR461705
SRR472015	SRR461621
SRR472039	SRR471973
SRR465129	SRR465081
SRR459972	SRR460020
SRR465021	SRR465153
SRR458633	SRR465105
SRR472417	SRR461765
SRR458657	SRR458705
SRR472297	SRR472237
SRR472357	SRR472496
SRR473245	SRR473269
SRR458681	SRR458729
SRR461465	SRR461513
SRR461441	SRR461537
SRR466865	SRR466817
SRR464787	SRR464721
SRR466841	SRR466889
SRR466557	SRR466605
SRR466629	SRR466653
SRR464805	SRR464739
SRR460086	SRR466581
SRR460104	SRR460062
SRR474935	SRR464763
SRR474953	SRR475001
SRR474977	SRR474911
SRR474359	SRR474280
SRR474438	SRR474517
SRR465371	SRR474220
SRR465213	SRR465431
SRR465510	SRR465292
SRR467858	SRR468095
SRR473166	SRR473005
SRR468174	SRR467937
SRR473087	SRR468016
SRR485163	SRR461973
SRR485381	SRR485242
SRR485302	SRR485441
SRR460152	SRR460128
SRR477230	SRR475794
SRR477348	SRR475887
SRR477288	SRR475947
SRR477408	SRR476063
SRR477829	SRR476121
SRR477889	SRR476413
SRR478063	SRR476295
SRR477947	SRR476355
SRR477592	SRR476237
SRR477768	SRR476785
SRR477650	SRR476959
SRR477114	SRR477017
SRR477172	SRR476843
SRR478241	SRR476901
SRR478299	SRR476591
SRR478357	SRR476471
SRR478121	SRR476531
SRR478181	SRR476649
SRR5876699	SRR5876778
SRR5876700	SRR5876788
SRR5876711	SRR5876789
SRR5876722	SRR5876790
SRR5876724	SRR5876791
SRR5876725	SRR5876792
SRR5876726	SRR5876793
SRR5876727	SRR5876794
SRR5876728	SRR5876795
SRR5876729	SRR5876796
SRR5876730	SRR5876798
SRR5876731	SRR5876779
SRR5876732	SRR5876799
SRR5876733	SRR5876800
SRR5876734	SRR5876801
SRR5876735	SRR5876802
SRR5876736	SRR5876803
SRR5876737	SRR5876804
SRR5876738	SRR5876805
SRR5876739	SRR5876806
SRR5876740	SRR5876807
SRR5876741	SRR5876809
SRR5876742	SRR5876780
SRR5876743	SRR5876810
SRR5876744	SRR5876811
SRR5876745	SRR5876812
SRR5876746	SRR5876813
SRR5876747	SRR5876814
SRR5876748	SRR5876815
SRR5876749	SRR5876816
SRR5876750	SRR5876817
SRR5876751	SRR5876818
SRR5876752	SRR5876701
SRR5876753	SRR5876781
SRR5876754	SRR5876702
SRR5876755	SRR5876703
SRR5876756	SRR5876704
SRR5876757	SRR5876705
SRR5876758	SRR5876706
SRR5876759	SRR5876706
SRR5876760	SRR5876706
SRR5876761	SRR5876707
SRR5876762	SRR5876708
SRR5876763	SRR5876709
SRR5876765	SRR5876710
SRR5876766	SRR5876712
SRR5876764	SRR5876782
SRR5876767	SRR5876713
SRR5876768	SRR5876714
SRR5876769	SRR5876715
SRR5876770	SRR5876716
SRR5876771	SRR5876717
SRR5876772	SRR5876718
SRR5876773	SRR5876719
SRR5876774	SRR5876720
SRR5876776	SRR5876721
SRR5876777	SRR5876723
SRR5876775	SRR5876783
SRR5876786	SRR5876784
SRR5876797	SRR5876785
SRR5876808	SRR5876787
SRR3146834	SRR3146849
SRR3146839	SRR3146917
SRR3146915	SRR3146756
SRR3146978	SRR3146799
SRR3146793	SRR3146907
SRR3146741	SRR3146938
SRR3146979	SRR3146795
SRR3146833	SRR3146872
SRR3146955	SRR3146734
SRR3146821	SRR3146796
SRR3146906	SRR3146964
SRR3146886	SRR3146964
SRR3146784	SRR3146964
SRR3146750	SRR3146964
SRR3146926	SRR3146877
SRR3146888	SRR3146851
SRR3146801	SRR3146893
SRR3146940	SRR3146835
SRR3146919	SRR3146900
SRR3146932	SRR3146931
SRR3146721	SRR3146946
SRR3146775	SRR3146752
SRR3146815	SRR3146963
SRR3146873	SRR3146805
SRR3146925	SRR3146743
SRR3146717	SRR3146743
SRR3146753	SRR3146905
SRR3146781	SRR3146766
SRR3146788	SRR3146792
SRR3146836	SRR3146730
SRR3146948	SRR3146728
SRR3146809	SRR3146928
SRR3146844	SRR3146867
SRR3146810	SRR3146751
SRR3146874	SRR3146783
SRR3146922	SRR3146934
SRR3146952	SRR3146942
SRR3146920	SRR3146949
SRR3146762	SRR3146816
SRR3146869	SRR3146816
SRR3146745	SRR3146816
SRR3146742	SRR3146816
SRR3146971	SRR3146716
SRR3146975	SRR3146798
SRR3146846	SRR3146798
SRR3146774	SRR3146798
SRR3146896	SRR3146858
SRR3146806	SRR3146858
SRR3146968	SRR3146889
SRR3146727	SRR3146860
SRR3146923	SRR3146758
SRR3146890	SRR3146791
SRR3146969	SRR3146733
SRR3146883	SRR3146808
SRR3146778	SRR3146868
SRR3146828	SRR3146780
SRR3146738	SRR3146723
SRR3146918	SRR3146973
SRR3146884	SRR3146956
SRR3146912	SRR3146880
SRR3146761	SRR3146818
SRR3146825	SRR3146820
SRR3146840	SRR3146794
SRR3146763	SRR3146960
SRR3146958	SRR3146711
SRR3146903	SRR3146807
SRR3146776	SRR3146746
SRR3146853	SRR3146712
SRR3146929	SRR3146832
SRR3146936	SRR3146814
SRR3146962	SRR3146786
SRR3146755	SRR3146772
SRR3146768	SRR3146737
SRR3146916	SRR3146965
SRR3146773	SRR3146954
SRR3146765	SRR3146767
SRR3146720	SRR3146947
SRR3146937	SRR3146866
SRR3146904	SRR3146895
SRR3146789	SRR3146959
SRR3146901	SRR3146898
SRR3146838	SRR3146822
SRR3146972	SRR3146732
SRR3146951	SRR3146790
SRR3146813	SRR3146864
SRR3146879	SRR3146856
SRR3146850	SRR3146930
SRR3146811	SRR3146722
SRR3146800	SRR3146817
SRR3146740	SRR3146863
SRR3146725	SRR3146976
SRR3146943	SRR3146966
SRR3146871	SRR3146713
SRR3146865	SRR3146713
SRR3146855	SRR3146713
SRR3146760	SRR3146842
SRR3146953	SRR3146970
SRR3146827	SRR3146970
SRR3146812	SRR3146735
SRR3146909	SRR3146782
SRR3146921	SRR3146754
SRR3146887	SRR3146754
SRR3146967	SRR3146924
SRR3146731	SRR3146924
SRR3146933	SRR3146830
SRR3146831	SRR3146830
SRR3146715	SRR3146830
SRR3146777	SRR3146911
SRR8304753	SRR8304739
SRR8304741	SRR8304747
SRR8304748	SRR8304755
SRR8304740	SRR8304746
SRR8304754	SRR8304751
SRR8304758	SRR8304750
SRR8307132	SRR8304752
SRR8304759	SRR8304749
SRR8304757	SRR8304762
SRR8304763	SRR8304760
SRR8304824	SRR8304825
SRR2404067	SRR8321243
SRR2404230	SRR2404158
SRR2404024	SRR2404128
SRR2404185	SRR2404207
SRR2404095	SRR2407084
SRR2407078	SRR2403935
SRR8304826	SRR8304823
SRR2404278	SRR2404284
SRR2404302	SRR2404257
SRR8304830	SRR8304822
SRR8304832	SRR8304829
SRR8304839	SRR8304836
SRR8304838	SRR8304841
SRR8304834	SRR8304831
SRR8307441	SRR8307256
SRR8324618	SRR8307263
SRR8321662	SRR8307260
SRR8307498	SRR8307134
SRR8304837	SRR8304842
SRR8304843	SRR8304835
SRR3018013	SRR3018015
SRR8311838	SRR3018018
SRR8311840	SRR8311839
SRR8311846	SRR8311845
SRR8311849	SRR8311850
SRR8311852	SRR8311853
SRR8311857	SRR8311858
SRR8311864	SRR8311865
SRR8311868	SRR8311869
SRR8311872	SRR8311873
SRR8311876	SRR8311877
SRR8311896	SRR8311897
SRR8311885	SRR8311886
SRR8311891	SRR8311892
SRR8311907	SRR8311908
SRR8311904	SRR8311899
SRR8311909	SRR8311910
SRR8311911	SRR8311912
SRR8311916	SRR8311917
SRR8311926	SRR8311927
SRR8311874	SRR8311875
SRR8311930	SRR8311898
SRR8311958	SRR8311959
SRR8311946	SRR8311947
SRR8311953	SRR8311954
SRR8311933	SRR8311934
SRR8311962	SRR8311963
SRR8311978	SRR8311979
SRR8311944	SRR8311945
SRR8311991	SRR8311992
SRR8311924	SRR8311925
SRR8311999	SRR8312000
SRR8311970	SRR8311971
SRR8311974	SRR8311975
SRR8311984	SRR8311985
SRR8311986	SRR8311987
SRR8311993	SRR8311994
SRR8311935	SRR8311936
SRR8311968	SRR8311969
SRR8312004	SRR8312005
SRR8312028	SRR8312029
SRR8312012	SRR8312013
SRR8311905	SRR8311906
SRR8311931	SRR8311932
SRR8312022	SRR8312023
SRR8312001	SRR8312002
SRR8312040	SRR8312041
SRR8312030	SRR8312031
SRR8312042	SRR8312043
SRR8312045	SRR8312046
SRR8312049	SRR8312050
SRR8312075	SRR8312076
SRR8312068	SRR8312069
SRR8312070	SRR8312071
SRR8312096	SRR8312097
SRR8311598	SRR8311599
SRR8311600	SRR8311601
SRR8311619	SRR8311620
SRR8311627	SRR8311628
SRR8311580	SRR8311581
SRR8311644	SRR8311645
SRR8311667	SRR8311668
SRR8311652	SRR8311653
SRR8311623	SRR8311624
SRR8311692	SRR8311693
SRR8311694	SRR8311695
SRR8311697	SRR8311698
SRR8311714	SRR8311715
SRR8311716	SRR8311717
SRR8311718	SRR8311719
SRR8311720	SRR8311721
SRR8311745	SRR8311746
SRR8311749	SRR8311750
SRR8311751	SRR8311752
SRR8311791	SRR8311792
SRR8311795	SRR8311796
SRR3018193	SRR3018195
SRR3018198	SRR3018196
SRR3018200	SRR3018201
SRR8307101	SRR8304871
SRR8307103	SRR8307116
SRR8307109	SRR8307111
SRR8307108	SRR8307130
SRR8307106	SRR8307114
SRR8307110	SRR8307262
SRR8307112	SRR8307104
SRR8307113	SRR8307118
SRR8307119	SRR8307115
SRR8307105	SRR8307102
SRR8307505	SRR8307500
SRR8307501	SRR8307107
SRR8307502	SRR8307504
SRR8316704	SRR8307503
SRR8316710	SRR8316706
SRR8316709	SRR8316707
SRR8316705	SRR8307261
SRR8316753	SRR8307442
SRR8316754	SRR8307293
SRR8316758	SRR8307259
SRR8316755	SRR8324617
SRR8316756	SRR8307506
SRR8316757	SRR8307452
SRR8316918	SRR8324615
SRR8316923	SRR8324611
SRR8316915	SRR8307448
SRR8316920	SRR8307450
SRR8316919	SRR8307499
SRR8316910	SRR8324614
SRR8316924	SRR8307447
SRR8316922	SRR8307449
SRR8316925	SRR8324616
SRR8316921	SRR8307451
SRR8307126	SRR8324612
SRR8307136	SRR8307453
SRR8307128	SRR8324610
SRR8307258	SRR8324613
SRR4043970	SRR4043817
SRR4044013	SRR4043942
SRR4043923	SRR4043930
SRR4043959	SRR4043973
SRR4043919	SRR4043829
SRR4043929	SRR4043886
SRR4043874	SRR4043869
SRR4043878	SRR4043901
SRR4043877	SRR4043951
SRR4043814	SRR4043969
SRR4043856	SRR4043834
SRR4043904	SRR4043794
SRR4043895	SRR4043994
SRR4043997	SRR4043844
SRR4043920	SRR4043880
SRR4043811	SRR4043790
SRR4043858	SRR4043846
SRR4043875	SRR4043979
SRR4044023	SRR4043935
SRR4043905	SRR4043824
SRR4043809	SRR4043974
SRR4043810	SRR4043847
SRR4044001	SRR4043903
SRR4043990	SRR4043828
SRR4043964	SRR4043823
SRR4043962	SRR4043838
SRR4043948	SRR4043999
SRR4043957	SRR4043943
SRR4043820	SRR4043819
SRR4044002	SRR4043917
SRR4043837	SRR4043787
SRR4043981	SRR4044015
SRR4043909	SRR4043900
SRR4043793	SRR4044017
SRR4044004	SRR4043996
SRR4043907	SRR4043952
SRR4043876	SRR4043801
SRR4044012	SRR4043991
SRR4043795	SRR4043982
SRR4043939	SRR4043888
SRR4044006	SRR4043818
SRR4043960	SRR4043865
SRR4043933	SRR4043808
SRR4043868	SRR4043782
SRR4043833	SRR4043882
SRR4043892	SRR4043861
SRR4043832	SRR4043885
SRR4043956	SRR4043815
SRR4043953	SRR4043859
SRR4043934	SRR4043872
SRR4043822	SRR4043792
SRR4043826	SRR4043784
SRR4043931	SRR4044018
SRR4043910	SRR4043976
SRR4043848	SRR4043871
SRR4043989	SRR4043891
