cytoband	13q14.13	6q15	2q22.2	17p13.1	5q13.2	10q23.31	5q22.1	11q23.2	1q42.2	6p21.32	6p24.3	19p13.3	1p36.13	18q22.3	11p15.5	3p12.3	7q22.1	6q21	12p12.3	1p31.1	3q29	16q24.1	15q15.1	12q24.32	9p24.2	1p13.3	4q34.2	19q13.31	4p12	6q27	11q12.1	2q37.2	8p21.2	10q21.1	17q21.2	21q21.1	2p21	4q27	21q22.3	7q36.2	22q13.31	1q24.2	9q21.13	3p25.3	16q21	4q21.22	14q11.2	2p12	12q12	17q11.2	14q24.3	15q11.2	
q value	4.4782e-190	3.3614e-184	3.2459e-80	2.4572e-75	5.2423e-105	8.7807e-54	1.2532e-92	7.9239e-27	4.641e-24	9.3729e-25	1.3567e-24	3.0736e-18	6.4039e-21	2.2307e-13	2.2307e-13	3.6757e-13	7.3784e-13	4.5062e-134	1.5919e-14	9.4168e-29	3.3467e-10	3.1706e-10	3.6352e-12	9.0048e-09	1.2847e-07	8.0487e-25	1.5481e-07	4.026e-06	1.4147e-05	4.1333e-11	1.2461e-05	2.7065e-09	5.3703e-05	3.2804e-12	4.5112e-05	0.00035116	0.00065769	0.00056441	0.0042681	0.00065769	0.010044	0.0047813	0.032744	0.0093525	0.019536	0.026577	0.064451	0.028404	8.8957e-06	0.0001397	0.16936	0.00012361	
residual q value	4.4782e-190	1.2587e-130	8.4998e-78	1.8405e-73	2.177e-61	3.1639e-48	1.7025e-46	1.3067e-26	2.9181e-23	1.7164e-21	1.9811e-19	3.1228e-18	7.869e-15	2.2307e-13	3.2414e-13	1.1157e-12	4.4608e-12	9.1026e-12	1.566e-10	1.7092e-10	3.3467e-10	1.1038e-09	6.2526e-09	1.6257e-08	1.2847e-07	1.3084e-06	2.2926e-06	4.0276e-06	1.4147e-05	2.7504e-05	4.5382e-05	4.9782e-05	5.3703e-05	9.7012e-05	0.00046637	0.00046637	0.0029605	0.0047813	0.0060309	0.0061579	0.010238	0.018659	0.032744	0.039821	0.047754	0.064409	0.07689	0.10281	0.1557	0.16357	0.20186	0.20186	
wide peak boundaries	chr13:42973273-53201111	chr6:75658807-89274729	chr2:132668611-151446656	chr17:7802072-9870161	chr5:65696661-71720653	chr10:80427538-100044963	chr5:96884008-115276243	chr11:111449655-117344578	chr1:231847329-234383638	chr6:32064967-36531033	chr6:6318364-7356171	chr19:1095338-3061345	chr1:16052514-16696630	chr18:63703063-74082123	chr11:773346-1938320	chr3:66285752-80226845	chr7:100683274-101182740	chr6:99484604-106529283	chr12:9853180-20562300	chr1:68152305-84647545	chr3:193492980-198295559	chr16:82164279-90338345	chr15:34556546-40855886	chr12:122961981-133275309	chr9:1-6834836	chr1:99916314-108722406	chr4:168272422-176192612	chr19:41363564-43073422	chr4:41689639-47453636	chr6:160074024-170805979	chr11:47247887-57316214	chr2:230573383-242193529	chr8:23225878-27907058	chr10:47512337-53827273	chr17:40082119-48585326	chr21:10483158-25881882	chr2:37300859-43886934	chr4:112797745-122840667	chr21:36727081-46709983	chr7:151217159-159345973	chr22:43317433-50818468	chr1:156317613-200581081	chr9:37780835-85950012	chr3:8733904-11790478	chr16:29994221-66908369	chr4:76741157-87476368	chr14:1-24058010	chr2:64656380-79520223	chr12:31877258-45937486	chr17:18127211-30899611	chr14:58540859-100378609	chr15:1-23003940	
genes in wide peak	ATP7B	BCKDHB	ACVR2A	ALOX12B	CCNB1	ACTA2	APC	APOA1	KCNK1	AGER	RREB1	AMH	EPHA2	CDH7	AP2A2	GPR27	ACHE	PRDM1	ARHGDIB	ACADM	APOD	AFG3L1P	ACTC1	SCARB1	DMRT1	AMY1A	CLCN3	ATP1A3	GABRA2	CCR6	APLNR	hsa-mir-1244-1	ADRA1A	CHAT	ACLY	ATP5J	ZFP36L2	ANK2	ADARB1	DPP6	ACR	hsa-mir-3119-1	ALDH1A1	ATP2B2	hsa-mir-1826	ANXA3	hsa-mir-1201	ACTG2	ABCD2	ALDH3A1	SERPINA3	NBEAP1	
	RCBTB2	CGA	RND3	ALOX15B	CDK7	FAS	CAMK4	APOA4	MAP10	BAK1	SSR1	ATP5D	RNU1-4	SERPINB2	CD151	MITF	AP1S1	CCNC	ART4	CRYZ	BDH1	APRT	BUB1B	EIF2B1	FOXD4	AMY1B	GPM6A	BCKDHA	GABRA4	GPR31	FOLH1	AGXT	BNIP3L	CTSLP2	AOC2	CXADR	CYP1B1	ANXA5	AIRE	EN2	ARSA	ABL2	ALDH1B1	FANCD2	ADCY7	BMP3	ANG	ADD2	BICD1	ALDH3A2	ACTN1	CYFIP1	
	CPB2	CNR1	CCNT2	CHD3	GTF2H2	BMPR1A	CHD1	APOC3	SIPA1L2	CLPS	LY86	CIRBP	MST1P2	SERPINB8	CTSD	CNTN3	EPHB4	GRIK2	CDKN1B	CTBS	CPN2	GAS8-AS1	GCHFR	STX2	MLANA	AMY1C	HMGB2	CEACAM1	GABRB1	KIF25	MYBPC3	ALPI	CHRNA2	ERCC6	ARL4D	GABPA	SRSF7	CAMK2D	PTTG1IP	MNX1	MPPED1	ALDH9A1	ANXA1	HRH1	ALDOA	CCNG2	APEX1	ANXA4	CNTN1	ALDOC	ACYP1	NIPA2	
	ESD	GABRR1	DARS	GUCY2D	CD180	ENTPD1	EFNA5	CRYAB	PCNX2	COL11A2	LY86-AS1	CSNK1G2	SZRD1	SERPINB10	DUSP8	ROBO1	EPO	PREP	CREBL2	CTH	DLG1	CA5A	IVD	GOLGA3	GLDC	AMY2A	HPGD	CD79A	GABRG1	LPA	NDUFS3	ALPP	CLU	MBL2	ATP6V0A1	NCAM2	SLC8A1	CCNA2	C21orf2	HTR5A	CHKB	APCS	APBA1	IRAK2	AMFR	CDS1	BCL2L2	ATP6V1B1	NELL2	BLMH	ARG2	NIPA1	
	MLNR	HTR1B	HNMT	MYH10	NAIP	ABCC2	FER	DLAT	NTPCR	ATF6B		EFNA2	RNU1-3	SERPINB7	LSP1	ROBO2	MUC3A	SIM1	EMP1	DLSTP1	GP5	CBFA2T3	MEIS2	GTF2H3	INSL4	AMY2B	NEK1	CEACAM5	PHOX2B	MAP3K4	PSMC3	ALPPL2	DPYSL2	NPY4R	BRCA1	TMPRSS15	SOS1	FABP2	CBS	INSIG1	CPT1B	APOA2	KLF9	OGG1	BBS2	FGF5	CEBPE	AUP1	PKP2	CPD	BDKRB1	LOC283683	
	GTF2F2	HTR1E	KIF5C	PER1	PIK3R1	COX15	KCNN2	DRD2	MLK4	MAPK14		GAMT	RNU1-2	SOCS6	MUC2	TMF1	SERPINE1	ATG5	EPS8	GNG5	HES1	CDH13	PLCB2	MMP17	JAK2	COL11A1	GLRA3	CEACAM3	ATP8A1	AFDN	PTPRJ	KIF1A	EPHX2	PRKG1	FMNL1	HSPA13	MAP4K3	IL2	COL6A1	PTPRN2	TYMP	FASLG	FXN	OXTR	CA7	GK2	DAD1	DCTN1	TWF1	CRYBA1	BDKRB2	OR4N4	
	GUCY1B2	IMPG1	LCT	PFAS	PMCHL2	CYP2C19	LNPEP	HSPB2	SLC35F3	DAXX		GNG7	RNU1-1	CD226	MUC5AC	SUCLG2	TRIP6	ASCC3	ETV6	MSH4	MELTF	CDH15	RAD51	POLE	RFX3	DBT	SAP30	CEACAM7	SLC30A9	PARK2	RAPSN	BOK	PTK2B	MAPK8	CDC6	TPTE	COX7A2L	MAD2L1	COL6A2	RHEB	FBLN1	ASTN1	GCNT1	SEC13	CBLN1	HNRNPD	HNRNPC	DGUOK	DNM1L	FOXO3B	ZFP36L1	HERC2P3	
